Comment,Author,LikeCount,PublishedAt,Tokens,Sentiment
"불사대마왕 도람뿌, 해리스 개발라버렸누;",@brilliant-s2w,0,2024-11-06T12:41:22Z,"['불사', '마왕', '도람뿌', '해리스']",-1.0
국내언론사 허위정보때문에 트럼프 미디어 꼴아박음,@Bismarck_1215,0,2024-11-06T12:12:03Z,"['국내', '언론사', '허위', '정보', '때문', '트럼프', '미디어']",-0.3
이스라엘.. 잘한것있네 좌빨세기들 존된거임... .,@기즈모1777,0,2024-11-06T12:06:57Z,"['이스라엘', '좌빨세기들']",0.3
우리 나라 언론사 좀 반성해야 하지 않나? 입 싹 닫네 ㅎ,@annaj188,0,2024-11-06T12:07:01Z,"['우리', '나라', '언론사', '반성']",0.1
다들 각자도 생하자.옛날의 미국이 아니다.기축통화가 어딨냐?기축통화 금으로하자,@javaguider1234,0,2024-11-06T12:07:02Z,"['각자', '옛날', '미국', '기축', '통화', '기축', '통화']",0.5
이 정도는 상대도 안된 거다. 미국 선거사에 길이남을 공화당 역사적 승리..,@CSW-c4u,0,2024-11-06T12:07:15Z,"['정도', '상대', '미국', '선거', '공화당', '역사', '승리']",0.0
이제 만진당 대선승리해도 세금팔이 못한다 트럼프 100프로 걸고 넘어진다.. ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ.,@기즈모1777,0,2024-11-06T12:07:29Z,"['대선', '승리', '세금', '트럼프', '프로']",0.2
웩,@choi4953,0,2024-11-06T12:07:39Z,[],-0.8
일론이  한몫했네 ㅋㅋ,@jjomin,0,2024-11-06T12:07:40Z,"['일론', '한몫']",-0.5
개거튼 언론 쓰레기들,@레인메이커-h8w,0,2024-11-06T12:07:58Z,"['개거튼', '언론', '쓰레기']",0.2
한국언론 방송은 쓰레기야...쓰레기 쪽팔린줄 도 모른다...,@반석세계선교단,0,2024-11-06T12:07:59Z,"['한국', '언론', '방송', '쓰레기', '쓰레기']",-0.8
욕심많은 대통령을 뽑냐 우리한테 빚진돈 갚으라하겠네,@하양-p6g,0,2024-11-06T12:08:33Z,"['욕심', '대통령', '우리']",-0.7
여론조사는 어느 나라든 활용성 제로 개판입니다.,@srh8223,0,2024-11-06T12:08:37Z,"['여론', '조사', '나라', '활용', '제로', '개판']",-0.5
여기서 해리스 응원하는 언론이랑 댓글 다는 사람들 다 어디갔누~?,@당근쥬스-f7u,0,2024-11-06T12:09:42Z,"['여기', '해리스', '응원', '언론', '댓글', '사람', '어디']",0.2
한국언론 국회의원들은 너무 무책임하다,@linainverse4783,0,2024-11-06T12:09:46Z,"['한국', '언론', '국회', '의원', '책임']",-0.5
솔직해지자 통일 시켜줘도 안한다 발광할판이잖아... ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ 몸사려라 강제 통일하면 한국존된다.. ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ.,@기즈모1777,0,2024-11-06T12:10:01Z,"['통일', '발광', '강제', '통일', '한국']",-0.8
근데 생각을 해보자. 낙태권 울부짖고 동성애에 성조기불태우는 애들이 지지하는 대통령을 미국인들이 정상도 아니고 왜뽑음? 한국으로 치면 베트남 불법이민자들 들어와서 태극기 불태우고 소수자 차별하지마라고 하면 걔네 가만둘거임?,@arisukim3074,0,2024-11-06T12:10:05Z,"['생각', '낙태', '동성애', '성조기', '지지', '대통령', '미국인', '정상', '한국', '베트남', '불법', '이민자', '태극기', '소수자', '차별']",0.2
특파원 보내서 제대로 보도해라 ㅡㅡ아무것도 안 하면서 미국 언론사 대충 뚝딱 복붙하는게무슨 언론사 기자라고 영상 띄우냐,@당근쥬스-f7u,0,2024-11-06T12:10:31Z,"['특파원', '보도', '아무것', '미국', '언론사', '복붙', '언론사', '기자', '영상']",0.0
언론쓰레기더미들아당신들에게진실과정의가어딨나그저자신들이익이길이고진리고정의라생각하는한국의악의축언론들짜가들보고도사기라말못하고빌붙어사는언론토나온다언론인들,@선우한-h2g,0,2024-11-06T12:10:33Z,"['언론', '쓰레기', '더미', '당신', '진실', '정의', '자신', '이익', '진리', '정의', '생각', '한국', '언론', '사기', '언론', '언론인']",0.2
"언론, 스포츠 전문가 도찐개찐",@junedoko4708,0,2024-11-06T12:10:34Z,"['언론', '스포츠', '전문가', '도찐개찐']",-0.5
미국인들도 정신차릴라면 아직 한참 멀었구나ㅋ 2찍들 천지구나 ㅋ 요즘은 쇼맨쉽으로 대통이 되는구만ㅋㅋ,@빈s,0,2024-11-06T12:10:35Z,"['미국인', '정신', '한참', '천지', '요즘', '쇼맨쉽', '대통']",0.1
MBC KBS SBS JTBC대중 선동질하는 유사언론 메모요,@Mjz-z8o,0,2024-11-06T12:10:43Z,"['대중', '선동', '유사', '언론', '메모']",0.1
붉은 신기루?그거 우리도 있는 것 아닌가?부정선거라는 이름으로...,@감기곰군,0,2024-11-06T12:10:45Z,"['신기루', '그거', '우리', '선거', '이름']",-0.8
싫다...,@코나와코리,0,2024-11-06T12:10:57Z,[],0.0
지들도 꼴깝 떨었으면서,@yee8843,0,2024-11-06T12:11:14Z,['꼴깝'],-0.5
통일되면 세금팔이 추억팔이.. 위험팔이.. 선동 못하잖아.. ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ 만진당 사라지는거지.. 막말로북한전체 더힘들지.. 한국 전라도 애들 더 힘들다고우기지는 못하잖아 ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ.,@기즈모1777,0,2024-11-06T12:11:16Z,"['통일', '세금', '추억', '위험', '선동', '막말', '북한', '전체', '한국', '전라도']",0.0
조작해서 바이든 된거니까 ㅈ털리지ㅋㅋ 예정된거 아니었나 미래 생각도 안하고 그저 무지성 트럼프는 안된다 ㅋㅋ,@요-r6w,0,2024-11-06T12:11:42Z,"['조작', '바이든', '털리지', '예정', '미래', '생각', '지성', '트럼프']",0.3
방산 노났네! 방산업게 계탔어.. 트럼프 때문에 유례없게 한국 방산 날게 돋친듯이 무기 팔리겠네! 아~중국이 무비자 왜 했나 했네! 한국 줄 잡으려 했군!,@필수전-e4m,0,2024-11-06T12:22:12Z,"['방산', '산업', '트럼프', '때문', '한국', '방산', '듯이', '무기', '중국', '비자', '한국']",0.5
주가 박살나는군아,@K_rs7,0,2024-11-06T12:22:44Z,['박살'],0.0
병신같은 언론들 지금까지 이렇게 국민들을 선동해왔던거야,@ninja69891,0,2024-11-06T12:22:50Z,"['병신', '언론', '지금', '국민', '선동']",-0.8
좌파언론들 거짓선동,@잴리-q3r,0,2024-11-06T12:23:03Z,"['좌파', '언론', '거짓', '선동']",0.1
나같아도 트럼프 뽑는다 ㅋㅋㅋ 정치경험없고 손에 왕자적은 무당검사 몰표주는곳은 한반도 5시뿐일듯 ㅋㅋㅋㅋ,@태클-e2q,0,2024-11-06T12:32:13Z,"['트럼프', '정치', '경험', '왕자', '무당', '검사', '몰표', '한반도']",-0.5
광우뻥 노예국민들 아쩔수없어 ㅋㅋㅋ 😅,@user-ef8hn6cs2u,0,2024-11-06T12:32:17Z,"['광우뻥', '노예', '국민']",0.0
ㅅㅂ 트럼프됬으니 울나라 국방비 ㅈ망했네 미군비 열배로 올린다매,@liachoi9840,0,2024-11-06T12:32:37Z,"['트럼프', '나라', '국방비', '군비']",0.0
우리나라 언론은 죄다 좌익... 하지만 신은 트럼프편❤,@eiiwkcvjqold,0,2024-11-06T12:33:56Z,"['우리나라', '언론', '좌익', '트럼프']",-0.6
게임최적화 지룡자🕷,@지룡자,0,2024-11-06T12:34:08Z,"['게임', '최적', '지룡자']",0.2
굥에 희망사항,@파란나라를보았니-v8x,0,2024-11-06T12:34:11Z,"['굥에', '희망사항']",0.2
풍전등화답은?,@jookoh2687,0,2024-11-06T12:35:29Z,['풍전등화'],-0.8
ㅈ같네 그냥 누가되어도,@시골Life,0,2024-11-06T12:35:33Z,[],0.2
한국언론들 전문가들 교수들이 해리스가 우세한다 초박빙이다 이러고 했는데 정작 승리는 압승이다.,@artpia515,0,2024-11-06T12:35:38Z,"['한국', '언론', '전문가', '교수', '해리스', '우세', '박빙', '정작', '승리', '압승']",0.5
이런것 보면 엑스포 생각나언론 통제 인지 지들이 지발 저린지개판인 대한 민국,@바람이부는데로,0,2024-11-06T12:35:39Z,"['엑스포', '언론', '통제', '개판', '대한', '민국']",-0.5
초박빙이라고 어제까지 떠들더니 언론의 민낯이 드러났네.,@СергейХо-в2у,0,2024-11-06T12:35:40Z,"['박빙', '어제', '언론', '민낯']",-0.8
진짜 국내 언론 수준ㅋㅋㅋ,@aydaddy-s1d,0,2024-11-06T12:35:46Z,"['국내', '언론', '수준']",0.2
역사상 본적 없는? 루스벨트 개표결과는 레벨이 다르던데 ㅋㅋㅋ,@yulmoocha02,0,2024-11-06T12:35:49Z,"['역사', '루스벨트', '개표', '결과', '레벨']",-0.6
미국도 노망이 났구나인종차별자를 대통령으로 만들다니,@가을냥-r1o,0,2024-11-06T12:35:50Z,"['미국', '노망', '인종', '차별', '대통령']",0.0
그냥 바이든했어야지 ㅋㅋ병신들 ㅋ,@user-yj7bq1ll8k,0,2024-11-06T12:35:53Z,"['바이든', '병신']",0.1
이제 TSMC 좀 긴장해야겠는데,@kyungtaelim2240,0,2024-11-06T12:35:59Z,['긴장'],0.1
어땋하냐? 김건희? 멜라니 옆에 서면 똥자루 만 할 텐데…? 그 전에 그냥 내려 온나.,@tidaddy,0,2024-11-06T12:36:59Z,"['어땋하냐', '김건희', '멜라니', '똥자루']",0.1
럼프 ㅊㅋㅊㅋ,@K_SURU,0,2024-11-06T12:37:33Z,['럼프'],0.1
언론은 좌경화도 우경화도 아니다. 국민이 원하는 언론도 아니다! 팩트만 보도해라.,@또야또-p7r,0,2024-11-06T12:37:46Z,"['언론', '좌경화', '우경화', '국민', '언론', '팩트', '보도']",0.0
불사의 트럼프를 어케 이겨?? 그 때부터 확정된거 아니었냐고...,@이생망-s3q,0,2024-11-06T12:38:06Z,"['불사의', '트럼프', '확정']",0.1
개한민국에서만 언론에 선동되고 민주당이나 쳐뽑지ㅋㅋㅋㅋㅋ 우리나라는 계몽하려면 진짜 멀었다,@mangsu-241,0,2024-11-06T12:39:03Z,"['민국', '언론', '선동', '민주당', '쳐뽑지', '우리나라', '계몽']",0.2
이 할배 여전히 매력적이다.,@라나라나-t5s,0,2024-11-06T12:39:07Z,"['할배', '매력']",0.8
한국언론만 자기 논리에 맞는 기사만 내보내서 국민들 호도한거임..내가 미국인이라면 당연히 트럼프다.. 그 놈의 pc 주의가 먹고 사는 문제 앞에서 무릎 꿇은건데.. 우리나라 민주당도 국민들도 각성해야 한다.. 왜 트럼프가 된건지...,@아드벡-k8s,0,2024-11-06T12:39:19Z,"['한국', '언론', '자기', '논리', '기사', '국민', '호도', '미국인', '트럼프', '주의', '문제', '무릎', '우리나라', '민주당', '국민', '각성', '트럼프']",0.1
미국시민들도 원했던거지 만날천날 퍼주는거보다 일단 우리가 먼저 살고 보자 라고 ㅡㅡ,@런커3004,0,2024-11-06T12:39:46Z,"['미국', '시민', '우리']",0.3
조선에 아직도 언론 쓰ㄺ들을 믿는 사람들이 있어?,@johngil4239,0,2024-11-06T12:40:25Z,"['조선', '언론', '사람']",0.5
윤뚱이 트럼프한테도 욕하면 인정😁,@스티브홍-h1u,0,2024-11-06T12:31:00Z,"['윤뚱', '트럼프', '인정']",0.2
낚시 바늘에 걸린 시청자들  ..... ㅋㅋ,@콩쥐팥쥐-p7m,0,2024-11-06T12:30:39Z,"['낚시', '바늘', '시청자']",0.3
임기중 상만 안치렀으면 좋겠다,@Nothingtolose0507,0,2024-11-06T12:30:31Z,['임기'],-0.5
"경합지역,민주당 강세지역도 트럼프가 다쓸어먹음",@MMM-vh2vw,0,2024-11-06T12:26:36Z,"['경합', '지역', '민주당', '강세', '지역', '트럼프']",-0.6
헬조센 언론=가짜뉴스 원천지 ㅋㅋㅋㅋㅋㅋㅋ 해리스가 이긴다매 ㅋㅋㅋㅋ??  경합주 3곳 해리스가 먹었다면서?? mbc 이새끼들이 제일 순악질임 ㅋㅋㅋㅋㅋ 지도봐라  이민자 외노자  흑인 많은동네 서부지역 캘리포니아 여기만 전라도 처럼 해리스 찍고 보수의성지 텍사스부터  러스트벨트 지역 트럼프 가는거 ㅋㅋㅋ 이걸 한국언론은 해리스가 경합주 먹었다고 가짜뉴스로 선동질 ㅋㅋㅋㅋ,@ESiKooke,0,2024-11-06T12:23:05Z,"['헬조센', '언론', '가짜', '뉴스', '천지', '해리스', '경합', '해리스', '이새끼', '악질', '지도', '이민자', '외노자', '흑인', '동네', '서부', '지역', '캘리포니아', '여기', '전라도', '해리스', '보수', '성지', '텍사스', '러스트', '벨트', '지역', '트럼프', '이거', '한국', '언론', '해리스', '경합', '가짜', '뉴스', '선동']",0.2
근데 맞다 나같아도 한국에 저런구도의 대통령 후보가 나오면 똘끼있어도 트럼프같은사람 뽑을듯,@NORAJOyou,0,2024-11-06T12:23:15Z,"['한국', '구도', '대통령', '후보', '똘끼', '트럼프', '사람']",-0.5
미국 메스컴은 지지자들을 다빨면서합니다 돈을주니까요,@동꼬팬클럽회장,0,2024-11-06T12:23:16Z,"['미국', '메스컴', '지지자']",-0.5
한국 언론사들이 그냥 븅시들이지ㅋㅋ,@도른마무,0,2024-11-06T12:23:32Z,"['한국', '언론사', '븅시']",-0.5
언론정신차려라 ㅅㅂ,@유진우-f6l,0,2024-11-06T12:23:33Z,"['언론', '정신']",0.2
신기하네 이번엔 장난질 안했나보네?,@Noname-l7x6g,0,2024-11-06T12:24:14Z,"['이번', '장난']",0.3
이 빨갱이언론들아 정신 좀 차려라,@narutoranikkan,0,2024-11-06T12:24:55Z,"['빨갱이', '언론', '정신']",-0.7
